Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,T total,gender_rank_best_woman_after,gender
"Chase, Nicholas",USA,1,1,1,0:20:19,1:03:20,0:35:29,2:02:25,1000,0:03:17,1,M
"Hardy, Ryan",USA,2,2,2,0:21:28,1:06:12,0:33:35,2:04:55,947,0:03:40,1,M
"Dixon, Andrew",USA,3,3,3,0:23:25,1:05:01,0:34:03,2:05:38,932,0:03:09,1,M
"Vande Casteele, Niels",BEL,4,4,4,0:22:50,1:03:39,0:36:12,2:06:21,917,0:03:40,1,M
"Antunes, Jose",BRA,1,5,5,0:21:01,1:07:09,0:35:04,2:06:41,1000,0:03:27,1,M
"Arruda, Joseph",USA,1,6,6,0:22:42,1:06:02,0:35:54,2:08:19,1000,0:03:41,1,M
"Noon, Jonathan",USA,5,7,7,0:23:07,1:04:19,0:35:58,2:08:28,872,0:05:04,1,M
"Nocera, Martin",USA,6,8,8,0:22:19,1:06:50,0:36:09,2:08:33,871,0:03:15,1,M
"Tete, Frederic",PYF,1,9,9,0:20:07,1:10:37,0:35:08,2:08:58,1000,0:03:06,1,M
"Baughman, Russell",USA,7,10,10,0:22:43,1:08:14,0:36:51,2:11:33,808,0:03:45,1,M
"Amselem, Marco",BRA,8,11,11,0:24:12,1:07:17,0:36:37,2:11:37,806,0:03:31,1,M
"Hoffman, Tyler",USA,2,12,12,0:20:12,1:09:52,0:38:54,2:12:20,915,0:03:22,1,M
"Engel, Eric",USA,9,13,13,0:23:23,1:08:41,0:36:44,2:12:35,786,0:03:47,1,M
"Garcia, Ricardo",ARG,2,14,14,0:22:51,1:08:05,0:37:24,2:13:14,862,0:04:54,1,M
"Bischoff, Joel",USA,10,15,15,0:21:11,1:12:21,0:36:25,2:13:18,771,0:03:21,1,M
"Hill, Traveller",USA,3,16,16,0:24:05,1:09:07,0:36:15,2:13:35,855,0:04:08,1,M
"Gunderman, Nathan",USA,11,17,17,0:22:27,1:09:02,0:38:19,2:13:39,764,0:03:51,1,M
"Sellergren, Andrew",USA,12,18,18,0:23:31,1:07:17,0:38:28,2:14:21,749,0:05:05,1,M
"Johannes, K. Olind",USA,3,19,19,0:23:44,1:09:47,0:37:53,2:14:54,861,0:03:30,1,M
"Tome, Rodrigo",BRA,1,20,20,0:22:48,1:08:59,0:39:25,2:15:15,1000,0:04:03,1,M
"Tong, Michael",USA,1,21,21,0:22:15,1:09:29,0:40:12,2:15:39,1000,0:03:43,1,M
"Holley, Ryan",USA,4,22,22,0:22:20,1:07:49,0:42:43,2:16:46,822,0:03:54,1,M
"Topping, Justin",USA,2,23,23,0:26:46,1:08:23,0:36:31,2:16:47,967,0:05:07,1,M
"Kors, Alex",USA,13,24,24,0:25:53,1:08:04,0:38:33,2:16:59,694,0:04:29,1,M
"Shaffer, Matthew",USA,3,25,25,0:26:26,1:08:04,0:37:35,2:17:01,962,0:04:56,1,M
"Brown, Dan",USA,5,26,26,0:23:32,1:15:30,0:36:17,2:18:57,776,0:03:38,1,M
"Ghis, Benjamin",FRA,14,27,27,0:24:36,1:10:31,0:39:41,2:19:04,650,0:04:16,1,M
"Houston, Matthew",USA,6,28,28,0:23:23,1:10:12,0:41:36,2:19:10,772,0:03:59,1,M
"Brown, Connor",USA,7,29,29,0:25:08,1:10:09,0:39:20,2:19:11,771,0:04:34,1,M
"Sanchez Arjona Aguado, Javier",ESP,4,30,30,0:23:09,1:15:32,0:37:03,2:19:49,904,0:04:05,1,M
"Davila, João",BRA,2,31,31,0:27:27,1:07:52,0:40:15,2:20:20,901,0:04:46,1,M
"Castelanelli, Marc",USA,15,32,32,0:26:47,1:08:22,0:41:10,2:20:42,616,0:04:23,1,M
"Dias, Felipe",BRA,4,33,33,0:20:42,1:15:21,0:40:35,2:21:15,694,0:04:37,1,M
"Perry, Adam",USA,5,34,34,0:22:49,1:10:56,0:43:55,2:21:48,682,0:04:08,1,M
"Gill, Darren",USA,1,35,35,0:25:07,1:06:35,0:44:28,2:21:56,1000,0:05:46,1,M
"Khuong, Tinh",USA,6,36,36,0:26:47,1:07:52,0:42:25,2:22:06,676,0:05:02,1,M
"Barker, John",USA,2,37,37,0:26:12,1:09:18,0:43:14,2:22:20,991,0:03:36,1,M
"Connolly, Paull",USA,3,38,38,0:25:46,1:12:22,0:40:25,2:22:32,987,0:03:59,1,M
"Knaeps, Mark",USA,1,39,39,0:26:11,1:10:35,0:40:30,2:22:34,1000,0:05:18,1,M
"Small, Doug",USA,2,40,40,0:26:02,1:10:53,0:41:57,2:23:09,702,0:04:17,1,M
"Vargas, Chris",USA,2,41,41,0:21:31,1:13:41,0:42:45,2:23:10,987,0:05:13,1,M
"Attebery, Phillip",USA,7,42,42,0:24:25,1:11:59,0:42:15,2:23:19,650,0:04:40,1,M
"Morales, Henri",USA,3,43,43,0:23:52,1:10:49,0:41:35,2:23:21,697,0:07:05,1,M
"Pearlman, Jacob",USA,8,43,43,0:28:57,1:10:35,0:40:10,2:23:21,684,0:03:39,1,M
"Tozzi, Jason",USA,5,45,45,0:27:31,1:13:19,0:37:11,2:23:49,820,0:05:48,1,M
"Walden, Christopher",USA,8,46,46,0:21:56,1:13:37,0:43:23,2:24:02,635,0:05:06,1,M
"Williams, Kevin",USA,9,47,47,0:23:42,1:13:15,0:43:39,2:24:49,653,0:04:13,1,M
"Jarratt, Gordon",USA,4,48,48,0:23:27,1:13:32,0:44:15,2:25:12,659,0:03:58,1,M
"Gabriel, Jose",GTM,10,49,49,0:24:59,1:11:38,0:43:02,2:25:13,645,0:05:34,1,M
"Skelos, Daphne",USA,1,1,50,0:20:27,1:19:16,0:41:45,2:25:15,1000,0:03:47,2,F
"Watt, Alexandra",USA,1,2,51,0:25:22,1:15:49,0:39:06,2:25:41,1000,0:05:24,3,F
"Carysfort, Eric",UGA,5,50,52,0:22:00,1:15:22,0:43:50,2:26:06,640,0:04:54,3,M
"Meretei, Attila",USA,6,51,53,0:26:59,1:08:21,0:42:42,2:26:22,634,0:08:20,3,M
"Emge, Derek",USA,4,52,54,0:23:30,1:12:49,0:45:18,2:26:30,904,0:04:53,3,M
"Brantley, Caleb",USA,16,53,55,0:28:08,1:11:07,0:42:35,2:26:47,488,0:04:57,3,M
"ryan, colin",USA,3,54,56,0:29:35,1:16:04,0:36:49,2:27:12,757,0:04:44,3,M
"Burdzilauskas, Whitney",USA,1,3,57,0:27:34,1:13:30,0:41:11,2:27:15,1000,0:05:00,4,F
"Grove, Ryan",USA,7,55,58,0:28:49,1:13:24,0:39:55,2:27:19,614,0:05:11,4,M
"Yance, Jonathan",PHL,9,56,59,0:29:55,1:10:16,0:42:54,2:27:20,566,0:04:15,4,M
"Gocke, Matt",USA,10,57,60,0:23:01,1:15:07,0:44:50,2:27:46,557,0:04:48,4,M
"Happ, Christopher",USA,11,58,61,0:26:39,1:10:38,0:45:30,2:27:52,555,0:05:05,4,M
"O'Donnell, Kelly",USA,6,59,62,0:24:31,1:14:39,0:43:47,2:27:55,734,0:04:58,4,M
"Austin, Clayton",USA,17,60,63,0:28:57,1:11:14,0:42:14,2:28:16,457,0:05:51,4,M
"Brogmus, Eric",USA,8,61,64,0:23:52,1:15:40,0:44:21,2:28:34,588,0:04:41,4,M
"Brough, Alexander",USA,18,62,65,0:27:52,1:15:35,0:40:11,2:28:53,444,0:05:15,4,M
"Juola, Michael",USA,11,63,66,0:30:48,1:15:38,0:37:28,2:29:01,565,0:05:07,4,M
"Page, Mitchell",AUS,12,64,67,0:25:58,---,---,2:29:09,562,2:03:11,4,M
"Weisman, David",USA,12,65,68,0:27:54,1:16:10,0:39:50,2:29:41,517,0:05:47,4,M
"Schauwecker, Eric",USA,5,66,69,0:24:47,1:15:29,0:42:42,2:29:51,833,0:06:53,4,M
"Cheeks, Alan",USA,6,67,70,0:25:37,1:12:09,0:47:12,2:29:55,832,0:04:57,4,M
"Helfer, Bjoern",DEU,19,68,71,0:30:32,1:10:23,0:43:14,2:30:09,417,0:06:00,4,M
"Ray, Erin",USA,2,4,72,0:31:46,1:11:56,0:42:25,2:30:38,928,0:04:31,5,F
"Stadler, Marco",USA,9,69,73,0:28:52,1:12:11,0:44:57,2:30:40,544,0:04:40,5,M
"Lumgair, Kelly",ZAF,13,70,74,0:28:31,1:10:44,0:46:20,2:30:41,496,0:05:06,5,M
"Dillon, Myles",USA,7,71,75,0:26:10,1:18:44,0:41:00,2:30:47,673,0:04:53,5,M
"Strawter, Christopher",USA,8,72,76,0:30:01,1:14:59,0:40:58,2:30:56,670,0:04:58,5,M
"Clarke, Walter",USA,1,73,77,0:28:24,1:11:56,0:46:12,2:31:23,1000,0:04:51,5,M
"Torre, Al",USA,2,74,78,0:26:57,1:15:32,0:43:36,2:31:28,998,0:05:23,5,M
"Callender, Chad",USA,20,75,79,0:25:58,1:18:00,0:41:56,2:31:30,389,0:05:36,5,M
"Knezevic, Ursela",USA,2,5,80,0:27:25,1:16:24,0:43:27,2:31:40,865,0:04:24,6,F
"Galliani, Ricky",USA,4,76,81,0:25:20,1:14:44,0:47:22,2:31:51,659,0:04:25,6,M
"Hartmanova, Petra",USA,1,6,82,0:27:24,1:19:22,0:41:42,2:32:23,1000,0:03:55,7,F
"Wyszynski, Brittaney",USA,3,7,83,0:26:39,1:21:41,0:39:22,2:32:24,849,0:04:42,8,F
"Schlocker, Stacy",USA,2,8,84,0:26:39,1:18:55,0:42:45,2:32:26,998,0:04:07,9,F
"Gilder, Kye",USA,10,77,85,0:33:08,1:14:12,0:40:15,2:32:34,504,0:04:59,9,M
"Sobieszczyk, Michal",USA,14,78,86,0:29:30,1:17:22,0:40:39,2:32:48,451,0:05:17,9,M
"Brant, Kyle",USA,21,79,87,0:24:54,1:19:14,0:44:32,2:32:56,359,0:04:16,9,M
"Cundari, Troy",USA,3,80,88,0:29:38,1:13:58,0:42:44,2:33:13,961,0:06:53,9,M
"Berchek, Jason",USA,11,81,89,0:27:45,1:13:08,0:47:28,2:33:15,490,0:04:54,9,M
"Fultz, Jayson",USA,12,82,90,0:29:00,1:18:00,0:40:28,2:33:19,488,0:05:51,9,M
"Corona, Gus",USA,9,83,91,0:29:15,1:13:57,0:45:35,2:33:22,619,0:04:35,9,M
"Gazizov, Sergey",RUS,10,84,92,0:27:19,1:19:27,0:40:43,2:33:27,617,0:05:58,9,M
"Nicanor, Jon",PHL,11,85,93,0:29:59,1:15:23,0:43:30,2:33:31,616,0:04:39,9,M
"Thompson, Ferris",USA,3,86,94,0:24:11,1:16:21,0:46:16,2:33:46,764,0:06:58,9,M
"Mcclure, Michael",USA,7,87,95,0:26:50,1:13:58,0:46:24,2:33:52,749,0:06:40,9,M
"Zolotov, Vasili",USA,12,88,96,0:29:36,1:18:53,0:40:20,2:34:00,606,0:05:11,9,M
"Lewis, Bryce",USA,13,89,97,0:25:24,1:17:05,0:44:26,2:34:11,602,0:07:16,9,M
"Rodriguez, Edward",USA,14,90,98,0:27:54,1:16:37,0:45:05,2:34:15,601,0:04:39,9,M
"Hamilton, Riaan",USA,15,91,99,0:25:09,1:11:55,0:51:59,2:34:25,417,0:05:22,9,M
"Brown, Patrick",USA,5,92,100,0:24:06,1:19:29,0:46:00,2:34:41,600,0:05:06,9,M
"Zini, Joe",USA,13,93,101,0:26:22,1:16:11,0:45:51,2:34:50,456,0:06:26,9,M
"Ludwig, Erin",USA,3,9,102,0:25:04,1:21:48,0:44:34,2:35:21,829,0:03:55,10,F
"Walker, Heidi",USA,3,10,103,0:22:52,1:22:42,0:45:02,2:35:45,929,0:05:09,11,F
"Roos, Alison",USA,4,11,104,0:27:23,1:13:48,0:48:58,2:35:51,777,0:05:42,12,F
"Wilson, Duncan",USA,13,94,105,0:21:21,1:24:04,0:44:02,2:35:53,421,0:06:26,12,M
"Shaffer, Kerry",CAN,5,12,106,0:27:25,1:15:26,0:48:12,2:35:56,775,0:04:53,13,F
"Westbrook, Tim",USA,16,95,107,0:30:34,1:16:40,0:44:14,2:36:18,378,0:04:50,13,M
"Mcdonald, Donald",USA,4,96,108,0:24:55,1:19:49,0:46:11,2:36:29,892,0:05:34,13,M
"Alexander, Caitlin",USA,6,13,109,0:27:08,1:19:02,0:46:09,2:36:33,762,0:04:14,14,F
"Hernandez, German",ESP,15,97,110,0:31:29,1:18:42,0:42:10,2:36:41,549,0:04:20,14,M
"Bicondova, Josh",USA,14,98,111,0:29:12,1:15:56,0:44:12,2:36:48,415,0:07:28,14,M
"Conner, Michael",USA,15,99,112,0:25:33,1:13:50,0:51:41,2:36:53,413,0:05:49,14,M
"Bena, Timothy",USA,16,100,113,0:34:07,1:12:46,0:45:09,2:37:04,541,0:05:02,14,M
"Fremdling, Doug",USA,16,101,114,0:27:17,1:17:26,0:47:21,2:37:17,405,0:05:13,14,M
"Wolfrom, Matt",USA,22,102,115,0:31:02,1:19:12,0:41:26,2:37:23,350,0:05:43,14,M
"Pryle, Matt",USA,8,103,116,0:26:48,1:17:06,0:47:39,2:37:31,672,0:05:58,14,M
"Eguia, Veronica",USA,7,14,117,0:29:30,1:16:00,0:45:30,2:37:34,741,0:06:34,15,F
"Thomas, Dan",USA,5,104,118,0:27:03,1:17:09,0:47:07,2:37:40,868,0:06:21,15,M
"Eguia, Aldo",USA,17,105,119,0:30:36,1:15:51,0:47:13,2:37:44,527,0:04:04,15,M
"Lochhead, Jay",USA,6,106,120,0:30:39,1:14:36,0:48:02,2:37:50,864,0:04:33,15,M
"Loveridge, Rick",USA,17,107,121,0:26:19,1:18:55,0:47:11,2:37:54,392,0:05:29,15,M
"Hayes, Rachel",USA,4,15,122,0:26:36,1:18:05,0:47:52,2:37:55,883,0:05:22,16,F
"Tuthill, Craig",USA,18,108,123,0:28:43,1:12:05,0:50:59,2:37:56,391,0:06:09,16,M
"Rogowicz, Pawel",POL,18,109,124,0:31:11,1:17:15,0:45:04,2:38:23,514,0:04:53,16,M
"Freestone, Graeme",GBR,19,110,125,0:36:36,1:15:59,0:41:32,2:38:26,513,0:04:19,16,M
"Strausberg, Gregory",USA,20,111,126,0:26:36,1:21:19,0:45:52,2:38:29,512,0:04:42,16,M
"Ireland, Heather",USA,2,16,127,0:23:24,1:20:49,0:49:45,2:38:39,727,0:04:41,17,F
"Flynn, Tom",USA,7,112,128,0:29:15,1:16:42,0:46:18,2:38:41,846,0:06:26,17,M
"Chialvo, Federico",USA,21,113,129,0:24:30,1:23:25,0:44:41,2:39:01,500,0:06:25,17,M
"Aspiazu, Jorge",USA,19,114,130,0:31:55,1:17:17,0:44:14,2:39:05,367,0:05:39,17,M
"Romeo, Dan",USA,22,115,131,0:33:16,1:15:56,0:42:12,2:39:06,499,0:07:42,17,M
"Kennedy, Kyle",USA,17,116,132,0:29:31,1:18:37,0:45:58,2:39:10,350,0:05:04,17,M
"Gatchalian, Paolo",USA,23,117,133,0:27:59,1:19:49,0:44:23,2:39:17,350,0:07:06,17,M
"Riloff, Matthew",USA,14,118,134,0:28:16,1:24:34,0:39:05,2:39:18,350,0:07:23,17,M
"Rolando, Justin",USA,24,119,135,0:28:03,1:17:33,0:45:05,2:39:26,350,0:08:45,17,M
"Padilla, Mario",MEX,23,120,136,0:26:27,1:20:51,0:46:28,2:39:44,485,0:05:58,17,M
"Correll, Gina",USA,1,17,137,0:26:37,1:21:48,0:45:15,2:39:52,1000,0:06:12,18,F
"Gill, Polly",USA,1,18,138,0:30:46,1:18:55,0:45:26,2:40:10,1000,0:05:03,19,F
"Madden, Kurt",USA,4,121,139,0:25:29,1:18:21,0:51:24,2:40:28,624,0:05:14,19,M
"Goetz, Jennifer",USA,3,19,140,0:24:41,1:26:06,0:45:15,2:40:34,687,0:04:32,20,F
"Gustin, Brenda",USA,1,20,141,0:32:47,1:15:33,0:47:39,2:41:04,1000,0:05:05,21,F
"Margot, Mike",USA,8,122,142,0:24:16,1:16:47,0:53:07,2:41:10,794,0:07:00,21,M
"Hetzel, Dr. Kristen L",USA,4,21,143,0:32:30,1:19:18,0:43:43,2:41:12,707,0:05:41,22,F
"Piccone, Mark",USA,20,123,143,0:33:33,1:18:55,0:41:47,2:41:12,350,0:06:57,22,M
"Reese, Willy",USA,9,124,145,0:25:05,1:22:39,0:47:44,2:41:28,788,0:06:00,22,M
"Agueros Gomez, Luis Miguel",ESP,21,125,146,0:30:16,1:15:25,0:47:15,2:41:37,350,0:08:41,22,M
"Seidel, Michelle",USA,2,22,147,0:28:20,1:20:40,0:47:47,2:41:42,967,0:04:55,23,F
"Kadel, Tim",USA,22,126,148,0:30:41,1:17:42,0:47:39,2:41:49,350,0:05:47,23,M
"De Cew, Matthew",USA,18,127,149,0:25:20,1:20:25,0:49:57,2:41:57,350,0:06:15,23,M
"Heffernan, Patrick",USA,10,128,150,0:33:36,1:16:58,0:46:19,2:42:02,776,0:05:09,23,M
"Halter, Lindsey",USA,5,23,151,0:32:09,1:22:45,0:41:51,2:42:07,795,0:05:22,24,F
"Visnyak, Erik",USA,24,129,152,0:33:04,1:20:57,0:41:48,2:42:23,430,0:06:34,24,M
"Cowan, Corbin",USA,19,130,153,0:27:52,1:20:28,0:47:22,2:42:26,350,0:06:44,24,M
